videoID,day,likes
5F5aoC66cpY,2019-09-10,4096
5F5aoC66cpY,2019-09-11,2528
5F5aoC66cpY,2019-09-12,935
5F5aoC66cpY,2019-09-13,722
5F5aoC66cpY,2019-09-14,732
5F5aoC66cpY,2019-09-15,552
5F5aoC66cpY,2019-09-16,388
5F5aoC66cpY,2019-09-17,216
5F5aoC66cpY,2019-09-18,116
5F5aoC66cpY,2019-09-19,71
5F5aoC66cpY,2019-09-20,53
5F5aoC66cpY,2019-09-21,66
5F5aoC66cpY,2019-09-22,97
5F5aoC66cpY,2019-09-23,108
5F5aoC66cpY,2019-09-24,113
5F5aoC66cpY,2019-09-25,79
5F5aoC66cpY,2019-09-26,81
5F5aoC66cpY,2019-09-27,60
5F5aoC66cpY,2019-09-28,82
5F5aoC66cpY,2019-09-29,142
5F5aoC66cpY,2019-09-30,76
5F5aoC66cpY,2019-10-01,58
5F5aoC66cpY,2019-10-02,47
5F5aoC66cpY,2019-10-03,33
5F5aoC66cpY,2019-10-04,42
5F5aoC66cpY,2019-10-05,30
5F5aoC66cpY,2019-10-06,23
5F5aoC66cpY,2019-10-07,24
5F5aoC66cpY,2019-10-08,27
5F5aoC66cpY,2019-10-09,21
5F5aoC66cpY,2019-10-10,21
5F5aoC66cpY,2019-10-11,15
5F5aoC66cpY,2019-10-12,11
5F5aoC66cpY,2019-10-13,13
5F5aoC66cpY,2019-10-14,21
5F5aoC66cpY,2019-10-15,28
5F5aoC66cpY,2019-10-16,14
5F5aoC66cpY,2019-10-17,16
5F5aoC66cpY,2019-10-18,20
5F5aoC66cpY,2019-10-19,28
5F5aoC66cpY,2019-10-20,33
5F5aoC66cpY,2019-10-21,21
5F5aoC66cpY,2019-10-22,15
5F5aoC66cpY,2019-10-23,14
5F5aoC66cpY,2019-10-24,17
5F5aoC66cpY,2019-10-25,10
5F5aoC66cpY,2019-10-26,13
5F5aoC66cpY,2019-10-27,11
5F5aoC66cpY,2019-10-28,11
5F5aoC66cpY,2019-10-29,9
5F5aoC66cpY,2019-10-30,4
5F5aoC66cpY,2019-10-31,4
5F5aoC66cpY,2019-11-01,17
5F5aoC66cpY,2019-11-02,21
5F5aoC66cpY,2019-11-03,28
5F5aoC66cpY,2019-11-04,28
5F5aoC66cpY,2019-11-05,32
5F5aoC66cpY,2019-11-06,24
5F5aoC66cpY,2019-11-07,12
5F5aoC66cpY,2019-11-08,20
5F5aoC66cpY,2019-11-09,24
5F5aoC66cpY,2019-11-10,11
5F5aoC66cpY,2019-11-11,6
5F5aoC66cpY,2019-11-12,13
5F5aoC66cpY,2019-11-13,8
5F5aoC66cpY,2019-11-14,6
5F5aoC66cpY,2019-11-15,5
5F5aoC66cpY,2019-11-16,8
5F5aoC66cpY,2019-11-17,10
5F5aoC66cpY,2019-11-18,7
5F5aoC66cpY,2019-11-19,7
5F5aoC66cpY,2019-11-20,12
5F5aoC66cpY,2019-11-21,16
5F5aoC66cpY,2019-11-22,11
5F5aoC66cpY,2019-11-23,11
5F5aoC66cpY,2019-11-24,8
5F5aoC66cpY,2019-11-25,13
5F5aoC66cpY,2019-11-26,10
5F5aoC66cpY,2019-11-27,17
5F5aoC66cpY,2019-11-28,24
5F5aoC66cpY,2019-11-29,19
5F5aoC66cpY,2019-11-30,19
5F5aoC66cpY,2019-12-01,25
5F5aoC66cpY,2019-12-02,20
5F5aoC66cpY,2019-12-03,19
5F5aoC66cpY,2019-12-04,30
5F5aoC66cpY,2019-12-05,40
5F5aoC66cpY,2019-12-06,29
5F5aoC66cpY,2019-12-07,41
5F5aoC66cpY,2019-12-08,32
5F5aoC66cpY,2019-12-09,39
5F5aoC66cpY,2019-12-10,29
5F5aoC66cpY,2019-12-11,14
5F5aoC66cpY,2019-12-12,17
5F5aoC66cpY,2019-12-13,15
5F5aoC66cpY,2019-12-14,26
5F5aoC66cpY,2019-12-15,37
5F5aoC66cpY,2019-12-16,23
5F5aoC66cpY,2019-12-17,24
5F5aoC66cpY,2019-12-18,16
5F5aoC66cpY,2019-12-19,27
5F5aoC66cpY,2019-12-20,23
5F5aoC66cpY,2019-12-21,19
5F5aoC66cpY,2019-12-22,19
5F5aoC66cpY,2019-12-23,18
5F5aoC66cpY,2019-12-24,21
5F5aoC66cpY,2019-12-25,13
5F5aoC66cpY,2019-12-26,20
5F5aoC66cpY,2019-12-27,20
5F5aoC66cpY,2019-12-28,17
5F5aoC66cpY,2019-12-29,13
5F5aoC66cpY,2019-12-30,16
5F5aoC66cpY,2019-12-31,4
5F5aoC66cpY,2020-01-01,14
5F5aoC66cpY,2020-01-02,21
5F5aoC66cpY,2020-01-03,25
5F5aoC66cpY,2020-01-04,26
5F5aoC66cpY,2020-01-05,40
5F5aoC66cpY,2020-01-06,60
5F5aoC66cpY,2020-01-07,42
5F5aoC66cpY,2020-01-08,67
5F5aoC66cpY,2020-01-09,39
5F5aoC66cpY,2020-01-10,32
5F5aoC66cpY,2020-01-11,39
5F5aoC66cpY,2020-01-12,28
5F5aoC66cpY,2020-01-13,24
5F5aoC66cpY,2020-01-14,34
5F5aoC66cpY,2020-01-15,30
5F5aoC66cpY,2020-01-16,23
5F5aoC66cpY,2020-01-17,24
5F5aoC66cpY,2020-01-18,19
5F5aoC66cpY,2020-01-19,24
5F5aoC66cpY,2020-01-20,15
5F5aoC66cpY,2020-01-21,20
5F5aoC66cpY,2020-01-22,19
5F5aoC66cpY,2020-01-23,14
5F5aoC66cpY,2020-01-24,23
5F5aoC66cpY,2020-01-25,21
5F5aoC66cpY,2020-01-26,34
5F5aoC66cpY,2020-01-27,26
5F5aoC66cpY,2020-01-28,23
5F5aoC66cpY,2020-01-29,18
5F5aoC66cpY,2020-01-30,20
5F5aoC66cpY,2020-01-31,23
5F5aoC66cpY,2020-02-01,20
5F5aoC66cpY,2020-02-02,18
5F5aoC66cpY,2020-02-03,22
5F5aoC66cpY,2020-02-04,29
5F5aoC66cpY,2020-02-05,29
5F5aoC66cpY,2020-02-06,24
5F5aoC66cpY,2020-02-07,25
5F5aoC66cpY,2020-02-08,33
5F5aoC66cpY,2020-02-09,29
5F5aoC66cpY,2020-02-10,25
5F5aoC66cpY,2020-02-11,23
5F5aoC66cpY,2020-02-12,11
5F5aoC66cpY,2020-02-13,8
5F5aoC66cpY,2020-02-14,12
5F5aoC66cpY,2020-02-15,10
5F5aoC66cpY,2020-02-16,12
5F5aoC66cpY,2020-02-17,13
5F5aoC66cpY,2020-02-18,10
5F5aoC66cpY,2020-02-19,9
5F5aoC66cpY,2020-02-20,9
5F5aoC66cpY,2020-02-21,12
5F5aoC66cpY,2020-02-22,19
5F5aoC66cpY,2020-02-23,23
5F5aoC66cpY,2020-02-24,13
5F5aoC66cpY,2020-02-25,15
5F5aoC66cpY,2020-02-26,16
5F5aoC66cpY,2020-02-27,14
5F5aoC66cpY,2020-02-28,6
5F5aoC66cpY,2020-02-29,13
5F5aoC66cpY,2020-03-01,14
5F5aoC66cpY,2020-03-02,9
5F5aoC66cpY,2020-03-03,10
5F5aoC66cpY,2020-03-04,9
5F5aoC66cpY,2020-03-05,15
5F5aoC66cpY,2020-03-06,5
5F5aoC66cpY,2020-03-07,4
5F5aoC66cpY,2020-03-08,4
5F5aoC66cpY,2020-03-09,11
5F5aoC66cpY,2020-03-10,6
5F5aoC66cpY,2020-03-11,5
5F5aoC66cpY,2020-03-12,0
5F5aoC66cpY,2020-03-13,11
5F5aoC66cpY,2020-03-14,7
5F5aoC66cpY,2020-03-15,9
5F5aoC66cpY,2020-03-16,7
5F5aoC66cpY,2020-03-17,9
5F5aoC66cpY,2020-03-18,7
5F5aoC66cpY,2020-03-19,4
5F5aoC66cpY,2020-03-20,6
5F5aoC66cpY,2020-03-21,10
5F5aoC66cpY,2020-03-22,11
5F5aoC66cpY,2020-03-23,6
5F5aoC66cpY,2020-03-24,11
5F5aoC66cpY,2020-03-25,4
5F5aoC66cpY,2020-03-26,7
5F5aoC66cpY,2020-03-27,6
5F5aoC66cpY,2020-03-28,9
5F5aoC66cpY,2020-03-29,9
5F5aoC66cpY,2020-03-30,5
5F5aoC66cpY,2020-03-31,7
5F5aoC66cpY,2020-04-01,15
5F5aoC66cpY,2020-04-02,17
5F5aoC66cpY,2020-04-03,15
5F5aoC66cpY,2020-04-04,13
5F5aoC66cpY,2020-04-05,24
5F5aoC66cpY,2020-04-06,15
5F5aoC66cpY,2020-04-07,15
5F5aoC66cpY,2020-04-08,12
5F5aoC66cpY,2020-04-09,14
5F5aoC66cpY,2020-04-10,20
5F5aoC66cpY,2020-04-11,16
5F5aoC66cpY,2020-04-12,20
5F5aoC66cpY,2020-04-13,19
5F5aoC66cpY,2020-04-14,15
5F5aoC66cpY,2020-04-15,17
5F5aoC66cpY,2020-04-16,22
5F5aoC66cpY,2020-04-17,16
5F5aoC66cpY,2020-04-18,9
5F5aoC66cpY,2020-04-19,8
5F5aoC66cpY,2020-04-20,8
5F5aoC66cpY,2020-04-21,15
5F5aoC66cpY,2020-04-22,4
5F5aoC66cpY,2020-04-23,8
5F5aoC66cpY,2020-04-24,15
5F5aoC66cpY,2020-04-25,4
5F5aoC66cpY,2020-04-26,8
5F5aoC66cpY,2020-04-27,10
5F5aoC66cpY,2020-04-28,10
5F5aoC66cpY,2020-04-29,6
5F5aoC66cpY,2020-04-30,11
5F5aoC66cpY,2020-05-01,11
5F5aoC66cpY,2020-05-02,17
5F5aoC66cpY,2020-05-03,16
5F5aoC66cpY,2020-05-04,14
5F5aoC66cpY,2020-05-05,20
5F5aoC66cpY,2020-05-06,14
5F5aoC66cpY,2020-05-07,13
5F5aoC66cpY,2020-05-08,13
5F5aoC66cpY,2020-05-09,16
5F5aoC66cpY,2020-05-10,15
5F5aoC66cpY,2020-05-11,9
5F5aoC66cpY,2020-05-12,19
5F5aoC66cpY,2020-05-13,18
5F5aoC66cpY,2020-05-14,18
5F5aoC66cpY,2020-05-15,13
5F5aoC66cpY,2020-05-16,19
5F5aoC66cpY,2020-05-17,19
5F5aoC66cpY,2020-05-18,18
5F5aoC66cpY,2020-05-19,18
5F5aoC66cpY,2020-05-20,19
5F5aoC66cpY,2020-05-21,33
5F5aoC66cpY,2020-05-22,31
5F5aoC66cpY,2020-05-23,23
5F5aoC66cpY,2020-05-24,27
5F5aoC66cpY,2020-05-25,34
5F5aoC66cpY,2020-05-26,20
5F5aoC66cpY,2020-05-27,24
5F5aoC66cpY,2020-05-28,25
5F5aoC66cpY,2020-05-29,17
5F5aoC66cpY,2020-05-30,23
5F5aoC66cpY,2020-05-31,20
5F5aoC66cpY,2020-06-01,18
5F5aoC66cpY,2020-06-02,30
5F5aoC66cpY,2020-06-03,17
5F5aoC66cpY,2020-06-04,17
5F5aoC66cpY,2020-06-05,20
5F5aoC66cpY,2020-06-06,16
5F5aoC66cpY,2020-06-07,15
5F5aoC66cpY,2020-06-08,18
5F5aoC66cpY,2020-06-09,11
5F5aoC66cpY,2020-06-10,23
5F5aoC66cpY,2020-06-11,11
5F5aoC66cpY,2020-06-12,12
5F5aoC66cpY,2020-06-13,6
5F5aoC66cpY,2020-06-14,14
5F5aoC66cpY,2020-06-15,20
5F5aoC66cpY,2020-06-16,19
5F5aoC66cpY,2020-06-17,20
5F5aoC66cpY,2020-06-18,20
5F5aoC66cpY,2020-06-19,20
5F5aoC66cpY,2020-06-20,24
5F5aoC66cpY,2020-06-21,13
5F5aoC66cpY,2020-06-22,10
5F5aoC66cpY,2020-06-23,11
5F5aoC66cpY,2020-06-24,18
5F5aoC66cpY,2020-06-25,15
5F5aoC66cpY,2020-06-26,16
5F5aoC66cpY,2020-06-27,19
5F5aoC66cpY,2020-06-28,8
5F5aoC66cpY,2020-06-29,17
5F5aoC66cpY,2020-06-30,11
5F5aoC66cpY,2020-07-01,11
5F5aoC66cpY,2020-07-02,20
5F5aoC66cpY,2020-07-03,45
5F5aoC66cpY,2020-07-04,39
5F5aoC66cpY,2020-07-05,23
5F5aoC66cpY,2020-07-06,20
5F5aoC66cpY,2020-07-07,22
5F5aoC66cpY,2020-07-08,25
5F5aoC66cpY,2020-07-09,28
5F5aoC66cpY,2020-07-10,12
5F5aoC66cpY,2020-07-11,29
5F5aoC66cpY,2020-07-12,26
5F5aoC66cpY,2020-07-13,24
5F5aoC66cpY,2020-07-14,28
5F5aoC66cpY,2020-07-15,17
5F5aoC66cpY,2020-07-16,13
5F5aoC66cpY,2020-07-17,9
5F5aoC66cpY,2020-07-18,9
5F5aoC66cpY,2020-07-19,16
5F5aoC66cpY,2020-07-20,10
5F5aoC66cpY,2020-07-21,11
5F5aoC66cpY,2020-07-22,10
5F5aoC66cpY,2020-07-23,16
5F5aoC66cpY,2020-07-24,10
5F5aoC66cpY,2020-07-25,10
5F5aoC66cpY,2020-07-26,25
5F5aoC66cpY,2020-07-27,14
5F5aoC66cpY,2020-07-28,11
5F5aoC66cpY,2020-07-29,13
5F5aoC66cpY,2020-07-30,15
5F5aoC66cpY,2020-07-31,17
5F5aoC66cpY,2020-08-01,10
5F5aoC66cpY,2020-08-02,10
5F5aoC66cpY,2020-08-03,8
5F5aoC66cpY,2020-08-04,9
5F5aoC66cpY,2020-08-05,12
5F5aoC66cpY,2020-08-06,11
5F5aoC66cpY,2020-08-07,8
5F5aoC66cpY,2020-08-08,14
5F5aoC66cpY,2020-08-09,4
5F5aoC66cpY,2020-08-10,8
5F5aoC66cpY,2020-08-11,10
5F5aoC66cpY,2020-08-12,9
5F5aoC66cpY,2020-08-13,10
5F5aoC66cpY,2020-08-14,10
5F5aoC66cpY,2020-08-15,11
5F5aoC66cpY,2020-08-16,20
5F5aoC66cpY,2020-08-17,6
5F5aoC66cpY,2020-08-18,9
5F5aoC66cpY,2020-08-19,10
5F5aoC66cpY,2020-08-20,6
5F5aoC66cpY,2020-08-21,10
5F5aoC66cpY,2020-08-22,7
5F5aoC66cpY,2020-08-23,8
5F5aoC66cpY,2020-08-24,5
5F5aoC66cpY,2020-08-25,5
5F5aoC66cpY,2020-08-26,9
5F5aoC66cpY,2020-08-27,7
5F5aoC66cpY,2020-08-28,6
5F5aoC66cpY,2020-08-29,5
5F5aoC66cpY,2020-08-30,6
5F5aoC66cpY,2020-08-31,5
5F5aoC66cpY,2020-09-01,3
5F5aoC66cpY,2020-09-02,4
5F5aoC66cpY,2020-09-03,17
5F5aoC66cpY,2020-09-04,11
5F5aoC66cpY,2020-09-05,12
5F5aoC66cpY,2020-09-06,11
5F5aoC66cpY,2020-09-07,11
5F5aoC66cpY,2020-09-08,14
5F5aoC66cpY,2020-09-09,13
5F5aoC66cpY,2020-09-10,12
5F5aoC66cpY,2020-09-11,12
5F5aoC66cpY,2020-09-12,12
5F5aoC66cpY,2020-09-13,13
5F5aoC66cpY,2020-09-14,6
5F5aoC66cpY,2020-09-15,5
5F5aoC66cpY,2020-09-16,4
5F5aoC66cpY,2020-09-17,9
5F5aoC66cpY,2020-09-18,0
5F5aoC66cpY,2020-09-19,4
5F5aoC66cpY,2020-09-20,8
5F5aoC66cpY,2020-09-21,12
5F5aoC66cpY,2020-09-22,3
5F5aoC66cpY,2020-09-23,2
5F5aoC66cpY,2020-09-24,5
5F5aoC66cpY,2020-09-25,7
5F5aoC66cpY,2020-09-26,0
5F5aoC66cpY,2020-09-27,4
5F5aoC66cpY,2020-09-28,4
5F5aoC66cpY,2020-09-29,3
5F5aoC66cpY,2020-09-30,2
5F5aoC66cpY,2020-10-01,10
5F5aoC66cpY,2020-10-02,14
5F5aoC66cpY,2020-10-03,17
5F5aoC66cpY,2020-10-04,21
5F5aoC66cpY,2020-10-05,19
5F5aoC66cpY,2020-10-06,7
5F5aoC66cpY,2020-10-07,13
5F5aoC66cpY,2020-10-08,7
5F5aoC66cpY,2020-10-09,5
5F5aoC66cpY,2020-10-10,16
5F5aoC66cpY,2020-10-11,3
5F5aoC66cpY,2020-10-12,8
5F5aoC66cpY,2020-10-13,4
5F5aoC66cpY,2020-10-14,3
5F5aoC66cpY,2020-10-15,15
5F5aoC66cpY,2020-10-16,13
5F5aoC66cpY,2020-10-17,19
5F5aoC66cpY,2020-10-18,17
5F5aoC66cpY,2020-10-19,10
5F5aoC66cpY,2020-10-20,11
5F5aoC66cpY,2020-10-21,18
5F5aoC66cpY,2020-10-22,21
5F5aoC66cpY,2020-10-23,10
5F5aoC66cpY,2020-10-24,12
5F5aoC66cpY,2020-10-25,14
5F5aoC66cpY,2020-10-26,12
5F5aoC66cpY,2020-10-27,10
5F5aoC66cpY,2020-10-28,13
5F5aoC66cpY,2020-10-29,6
5F5aoC66cpY,2020-10-30,9
5F5aoC66cpY,2020-10-31,6
5F5aoC66cpY,2020-11-01,11
5F5aoC66cpY,2020-11-02,4
5F5aoC66cpY,2020-11-03,8
5F5aoC66cpY,2020-11-04,6
5F5aoC66cpY,2020-11-05,3
5F5aoC66cpY,2020-11-06,11
5F5aoC66cpY,2020-11-07,8
5F5aoC66cpY,2020-11-08,10
5F5aoC66cpY,2020-11-09,10
5F5aoC66cpY,2020-11-10,7
5F5aoC66cpY,2020-11-11,8
5F5aoC66cpY,2020-11-12,11
5F5aoC66cpY,2020-11-13,11
5F5aoC66cpY,2020-11-14,7
5F5aoC66cpY,2020-11-15,6
5F5aoC66cpY,2020-11-16,7
5F5aoC66cpY,2020-11-17,8
5F5aoC66cpY,2020-11-18,9
5F5aoC66cpY,2020-11-19,7
5F5aoC66cpY,2020-11-20,5
5F5aoC66cpY,2020-11-21,11
5F5aoC66cpY,2020-11-22,8
5F5aoC66cpY,2020-11-23,4
5F5aoC66cpY,2020-11-24,3
5F5aoC66cpY,2020-11-25,8
5F5aoC66cpY,2020-11-26,8
5F5aoC66cpY,2020-11-27,9
5F5aoC66cpY,2020-11-28,7
5F5aoC66cpY,2020-11-29,5
5F5aoC66cpY,2020-11-30,8
5F5aoC66cpY,2020-12-01,4
5F5aoC66cpY,2020-12-02,11
5F5aoC66cpY,2020-12-03,13
5F5aoC66cpY,2020-12-04,8
5F5aoC66cpY,2020-12-05,9
5F5aoC66cpY,2020-12-06,10
5F5aoC66cpY,2020-12-07,9
5F5aoC66cpY,2020-12-08,7
5F5aoC66cpY,2020-12-09,7
